1:143385.22,160463.48	78:143385.22,160463.48
2:155079.06,163650.73	104:155477.37,162651.13
2:155079.06,163650.73	108:154680.75,164650.33
3:153988.53,160235.76	99:154830.09,160255.05
3:153988.53,160235.76	103:153146.97,160216.47
4:139950.312857,156346.181429	60:140500.84,155007.68
4:139950.312857,156346.181429	62:139842.82,155778.7
4:139950.312857,156346.181429	63:138989.32,156131.45
4:139950.312857,156346.181429	64:139881.78,156200.28
4:139950.312857,156346.181429	66:139202.45,156601.01
4:139950.312857,156346.181429	67:141521.17,156506.1
4:139950.312857,156346.181429	72:139713.81,158198.05
5:156040.6125,161194.3075	98:156650.53,160402.73
5:156040.6125,161194.3075	100:155780.61,161155.06
5:156040.6125,161194.3075	101:155973.69,161520.81
5:156040.6125,161194.3075	102:155757.62,161698.63
6:148067.423333,151044.515	5:148037.42,149443.9
6:148067.423333,151044.515	12:149198.46,149918.92
6:148067.423333,151044.515	16:146813.38,151435.82
6:148067.423333,151044.515	18:147951.68,151173.07
6:148067.423333,151044.515	21:149214.81,151472.23
6:148067.423333,151044.515	35:147188.79,152823.15
7:142643.4425,158803.2775	68:143425.75,157339.4
7:142643.4425,158803.2775	73:142527.76,158312.97
7:142643.4425,158803.2775	76:142990.55,159397.09
7:142643.4425,158803.2775	79:141629.71,160163.65
8:145967.17,157773.88	69:144718.68,157602.56
8:145967.17,157773.88	83:145961.77,157814.67
8:145967.17,157773.88	84:147221.06,157904.41
9:164429.87,163489.97	105:164429.87,163489.97
10:136889.4525,158719.04	70:137889.68,157781.66
10:136889.4525,158719.04	71:136656.23,157553.55
10:136889.4525,158719.04	75:135607.1,159148.92
10:136889.4525,158719.04	81:137404.8,160392.03
11:150411.075,157314.56	52:149951.9,157738.28
11:150411.075,157314.56	53:150870.25,156890.84
12:140365.926667,150547.776667	6:141732.23,149908.02
12:140365.926667,150547.776667	11:139998.81,150082.72
12:140365.926667,150547.776667	26:139366.74,151652.59
13:142821.218333,153857.875	31:143839.8,153020.83
13:142821.218333,153857.875	32:142733.35,153099.59
13:142821.218333,153857.875	33:143678.06,153444.64
13:142821.218333,153857.875	40:141339.45,153959.72
13:142821.218333,153857.875	43:142144.79,154597.26
13:142821.218333,153857.875	46:143191.86,155025.21
14:164854.4425,165941.79	109:169251.06,165333.16
14:164854.4425,165941.79	110:165295.96,166307.48
14:164854.4425,165941.79	112:163428.02,166293.35
14:164854.4425,165941.79	113:161442.73,165833.17
15:144902.817778,151030.343333	4:146277.0,149377.05
15:144902.817778,151030.343333	7:146343.98,150237.09
15:144902.817778,151030.343333	8:143903.27,150127.84
15:144902.817778,151030.343333	9:145062.68,150092.55
15:144902.817778,151030.343333	13:143976.3,151159.16
15:144902.817778,151030.343333	17:145146.77,151489.56
15:144902.817778,151030.343333	19:143800.1,151838.39
15:144902.817778,151030.343333	22:144302.05,152239.5
15:144902.817778,151030.343333	29:145313.21,152711.95
16:158091.096667,164564.146667	106:158431.25,162322.4
16:158091.096667,164564.146667	107:158487.34,164413.38
16:158091.096667,164564.146667	111:157354.7,166956.66
17:138464.13125,154868.735	54:138760.28,153074.01
17:138464.13125,154868.735	55:138393.68,154240.89
17:138464.13125,154868.735	56:139465.51,154309.73
17:138464.13125,154868.735	57:137872.62,155016.21
17:138464.13125,154868.735	58:139064.12,155217.43
17:138464.13125,154868.735	59:138015.18,155514.96
17:138464.13125,154868.735	61:138793.52,155638.19
17:138464.13125,154868.735	65:137348.14,155938.46
18:145625.605,154718.148333	34:145035.99,153315.7
18:145625.605,154718.148333	37:146543.68,153913.78
18:145625.605,154718.148333	41:144690.98,154316.99
18:145625.605,154718.148333	44:147066.4,155149.29
18:145625.605,154718.148333	47:144403.29,155930.01
18:145625.605,154718.148333	48:146013.29,155683.12
19:150772.35,153180.206667	25:151500.72,152128.32
19:150772.35,153180.206667	38:151449.44,153764.25
19:150772.35,153180.206667	39:149366.89,153648.05
20:141765.673,151990.09	10:142863.27,150030.94
20:141765.673,151990.09	14:141546.87,151107.9
20:141765.673,151990.09	15:142646.6,151242.96
20:141765.673,151990.09	20:142199.94,151897.77
20:141765.673,151990.09	23:140808.2,152432.47
20:141765.673,151990.09	24:143106.67,152356.13
20:141765.673,151990.09	27:140416.57,152146.08
20:141765.673,151990.09	28:141612.02,152424.78
20:141765.673,151990.09	30:142147.44,152788.09
20:141765.673,151990.09	36:140309.15,153473.78
21:148341.52,155974.232	42:149026.56,154716.68
21:148341.52,155974.232	45:149088.16,155678.19
21:148341.52,155974.232	49:146935.26,156555.27
21:148341.52,155974.232	50:147771.44,156163.04
21:148341.52,155974.232	51:148886.18,156757.98
22:139939.92,160400.96	80:140522.99,160396.75
22:139939.92,160400.96	82:139356.85,160405.17
23:146444.34,161044.58	96:146444.34,161044.58
24:145131.606,159405.17	74:144512.67,158820.03
24:145131.606,159405.17	77:144348.86,159828.82
24:145131.606,159405.17	88:145488.59,158833.25
24:145131.606,159405.17	91:145614.26,159480.68
24:145131.606,159405.17	94:145693.65,160063.07
25:150167.46,159667.78	87:150211.94,158547.64
25:150167.46,159667.78	92:150413.22,159364.66
25:150167.46,159667.78	97:149877.22,161091.04
26:148349.423333,159138.288333	85:149007.88,158255.23
26:148349.423333,159138.288333	86:147900.64,158283.67
26:148349.423333,159138.288333	89:148375.72,159294.26
26:148349.423333,159138.288333	90:149100.78,159241.67
26:148349.423333,159138.288333	93:146987.68,159418.21
26:148349.423333,159138.288333	95:148723.84,160336.69
