1:158431.25,162322.4	106:158431.25,162322.4
2:138464.13125,154868.735	54:138760.28,153074.01
2:138464.13125,154868.735	55:138393.68,154240.89
2:138464.13125,154868.735	56:139465.51,154309.73
2:138464.13125,154868.735	57:137872.62,155016.21
2:138464.13125,154868.735	58:139064.12,155217.43
2:138464.13125,154868.735	59:138015.18,155514.96
2:138464.13125,154868.735	61:138793.52,155638.19
2:138464.13125,154868.735	65:137348.14,155938.46
3:148888.352727,159043.250909	52:149951.9,157738.28
3:148888.352727,159043.250909	84:147221.06,157904.41
3:148888.352727,159043.250909	85:149007.88,158255.23
3:148888.352727,159043.250909	86:147900.64,158283.67
3:148888.352727,159043.250909	87:150211.94,158547.64
3:148888.352727,159043.250909	89:148375.72,159294.26
3:148888.352727,159043.250909	90:149100.78,159241.67
3:148888.352727,159043.250909	92:150413.22,159364.66
3:148888.352727,159043.250909	93:146987.68,159418.21
3:148888.352727,159043.250909	95:148723.84,160336.69
3:148888.352727,159043.250909	97:149877.22,161091.04
4:144364.754615,159166.480769	68:143425.75,157339.4
4:144364.754615,159166.480769	69:144718.68,157602.56
4:144364.754615,159166.480769	73:142527.76,158312.97
4:144364.754615,159166.480769	74:144512.67,158820.03
4:144364.754615,159166.480769	76:142990.55,159397.09
4:144364.754615,159166.480769	77:144348.86,159828.82
4:144364.754615,159166.480769	78:143385.22,160463.48
4:144364.754615,159166.480769	79:141629.71,160163.65
4:144364.754615,159166.480769	83:145961.77,157814.67
4:144364.754615,159166.480769	88:145488.59,158833.25
4:144364.754615,159166.480769	91:145614.26,159480.68
4:144364.754615,159166.480769	94:145693.65,160063.07
4:144364.754615,159166.480769	96:146444.34,161044.58
5:141929.040526,151911.904737	6:141732.23,149908.02
5:141929.040526,151911.904737	8:143903.27,150127.84
5:141929.040526,151911.904737	10:142863.27,150030.94
5:141929.040526,151911.904737	11:139998.81,150082.72
5:141929.040526,151911.904737	13:143976.3,151159.16
5:141929.040526,151911.904737	14:141546.87,151107.9
5:141929.040526,151911.904737	15:142646.6,151242.96
5:141929.040526,151911.904737	19:143800.1,151838.39
5:141929.040526,151911.904737	20:142199.94,151897.77
5:141929.040526,151911.904737	23:140808.2,152432.47
5:141929.040526,151911.904737	24:143106.67,152356.13
5:141929.040526,151911.904737	26:139366.74,151652.59
5:141929.040526,151911.904737	27:140416.57,152146.08
5:141929.040526,151911.904737	28:141612.02,152424.78
5:141929.040526,151911.904737	30:142147.44,152788.09
5:141929.040526,151911.904737	32:142733.35,153099.59
5:141929.040526,151911.904737	36:140309.15,153473.78
5:141929.040526,151911.904737	40:141339.45,153959.72
5:141929.040526,151911.904737	43:142144.79,154597.26
6:137906.275,159279.68	70:137889.68,157781.66
6:137906.275,159279.68	71:136656.23,157553.55
6:137906.275,159279.68	75:135607.1,159148.92
6:137906.275,159279.68	80:140522.99,160396.75
6:137906.275,159279.68	81:137404.8,160392.03
6:137906.275,159279.68	82:139356.85,160405.17
7:139950.312857,156346.181429	60:140500.84,155007.68
7:139950.312857,156346.181429	62:139842.82,155778.7
7:139950.312857,156346.181429	63:138989.32,156131.45
7:139950.312857,156346.181429	64:139881.78,156200.28
7:139950.312857,156346.181429	66:139202.45,156601.01
7:139950.312857,156346.181429	67:141521.17,156506.1
7:139950.312857,156346.181429	72:139713.81,158198.05
8:166840.465,164411.565	105:164429.87,163489.97
8:166840.465,164411.565	109:169251.06,165333.16
9:161442.73,165833.17	113:161442.73,165833.17
10:149744.955,154968.41875	25:151500.72,152128.32
10:149744.955,154968.41875	38:151449.44,153764.25
10:149744.955,154968.41875	39:149366.89,153648.05
10:149744.955,154968.41875	42:149026.56,154716.68
10:149744.955,154968.41875	45:149088.16,155678.19
10:149744.955,154968.41875	50:147771.44,156163.04
10:149744.955,154968.41875	51:148886.18,156757.98
10:149744.955,154968.41875	53:150870.25,156890.84
11:164361.99,166300.415	110:165295.96,166307.48
11:164361.99,166300.415	112:163428.02,166293.35
12:145084.489167,154275.524167	22:144302.05,152239.5
12:145084.489167,154275.524167	29:145313.21,152711.95
12:145084.489167,154275.524167	31:143839.8,153020.83
12:145084.489167,154275.524167	33:143678.06,153444.64
12:145084.489167,154275.524167	34:145035.99,153315.7
12:145084.489167,154275.524167	37:146543.68,153913.78
12:145084.489167,154275.524167	41:144690.98,154316.99
12:145084.489167,154275.524167	44:147066.4,155149.29
12:145084.489167,154275.524167	46:143191.86,155025.21
12:145084.489167,154275.524167	47:144403.29,155930.01
12:145084.489167,154275.524167	48:146013.29,155683.12
12:145084.489167,154275.524167	49:146935.26,156555.27
13:153913.86,162433.4	103:153146.97,160216.47
13:153913.86,162433.4	108:154680.75,164650.33
14:147123.497,150746.334	4:146277.0,149377.05
14:147123.497,150746.334	5:148037.42,149443.9
14:147123.497,150746.334	7:146343.98,150237.09
14:147123.497,150746.334	9:145062.68,150092.55
14:147123.497,150746.334	12:149198.46,149918.92
14:147123.497,150746.334	16:146813.38,151435.82
14:147123.497,150746.334	17:145146.77,151489.56
14:147123.497,150746.334	18:147951.68,151173.07
14:147123.497,150746.334	21:149214.81,151472.23
14:147123.497,150746.334	35:147188.79,152823.15
15:155744.985,161280.568333	98:156650.53,160402.73
15:155744.985,161280.568333	99:154830.09,160255.05
15:155744.985,161280.568333	100:155780.61,161155.06
15:155744.985,161280.568333	101:155973.69,161520.81
15:155744.985,161280.568333	102:155757.62,161698.63
15:155744.985,161280.568333	104:155477.37,162651.13
16:157921.02,165685.02	107:158487.34,164413.38
16:157921.02,165685.02	111:157354.7,166956.66
